title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
WALL·E,98,Animation; Adventure; Family,Andrew Stanton,Andrew Stanton; Pete Docter,Ben Burtt; Elissa Knight; Jeff Garlin,8.4,"646,367"
American Beauty,122,Drama; Romance,Sam Mendes,Alan Ball,Kevin Spacey; Annette Bening; Thora Birch,8.4,"758,509"
Hotaru no haka,89,Animation; Drama; War,Isao Takahata,Akiyuki Nosaka; Isao Takahata,Tsutomu Tatsumi; Ayano Shiraishi; Akemi Yamaguchi,8.5,"121,725"
Aliens,137,Action; Horror; Sci-Fi,James Cameron,James Cameron; David Giler,Sigourney Weaver; Michael Biehn; Carrie Henn,8.4,"450,645"
Citizen Kane,119,Drama; Mystery,Orson Welles,Herman J. Mankiewicz; Orson Welles,Orson Welles; Joseph Cotten; Dorothy Comingore,8.4,"276,635"
North by Northwest,136,Adventure; Mystery; Thriller,Alfred Hitchcock,Ernest Lehman,Cary Grant; Eva Marie Saint; James Mason,8.4,"204,591"
Oldeuboi,120,Drama; Mystery; Thriller,Chan-wook Park,Garon Tsuchiya; Nobuaki Minegishi,Min-sik Choi; Ji-tae Yu; Hye-jeong Kang,8.4,"323,088"
Mononoke-hime,134,Animation; Adventure; Fantasy,Hayao Miyazaki,Hayao Miyazaki,Yôji Matsuda; Yuriko Ishida; Yûko Tanaka,8.4,"200,047"
Vertigo,128,Mystery; Romance; Thriller,Alfred Hitchcock,Alec Coppel; Samuel A. Taylor,James Stewart; Kim Novak; Barbara Bel Geddes,8.4,"226,419"
Star Wars: Episode VI - Return of the Jedi,134,Action; Adventure; Fantasy,Richard Marquand,Lawrence Kasdan; George Lucas,Mark Hamill; Harrison Ford; Carrie Fisher,8.4,"580,727"
Das Boot,149,Adventure; Drama; War,Wolfgang Petersen,Wolfgang Petersen; Lothar G. Buchheim,Jürgen Prochnow; Herbert Grönemeyer; Klaus Wennemann,8.4,"155,748"
M,117,Crime; Drama; Thriller,Fritz Lang,Thea von Harbou; Fritz Lang,Peter Lorre; Ellen Widmann; Inge Landgut,8.4,"91,166"
Once Upon a Time in America,229,Crime; Drama,Sergio Leone,Harry Grey; Leonardo Benvenuti,Robert De Niro; James Woods; Elizabeth McGovern,8.4,"201,921"
Amélie,122,Comedy; Romance,Jean-Pierre Jeunet,Guillaume Laurant; Jean-Pierre Jeunet,Audrey Tautou; Mathieu Kassovitz; Rufus,8.4,"490,528"
